,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
64,Food services and drinking places,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,23468,10689,21732,---,---,---,---,---,---,88,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7965,235,2979,379,---,4721,12817,39429,970365,3928,---,---,1415,10799,---,1111010,---,---,1111010,---,---,---,---,71156,---,71156,1182166
65,"Other services, except government",---,---,---,---,---,---,---,---,---,---,125,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,74344,87744,27,4611,23757,---,---,---,---,---,---,1831,---,---,---,2767,---,---,---,---,---,---,86,2254,---,2387,2985,---,---,---,16,---,---,---,---,469,810,1591,---,722631,---,---,0,1231,3111,932775,3742,---,936517,---,---,---,9,24542,---,24550,961068
66,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,713008,---,---,---,---,713008,---,---,713008,---,---,---,---,0,---,0,713008
67,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,533783,---,---,---,533783,---,---,533783,---,---,---,---,0,---,0,533783
68,Federal government enterprises,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,675,69491,---,---,70166,273,---,70439,---,---,---,---,0,---,0,70439
69,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2106940,---,2106940,---,---,2106940,---,---,---,---,0,---,0,2106940
70,State and local government enterprises,---,---,---,---,---,2137,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,113029,115166,---,---,115166,---,---,---,---,0,---,0,115166
71,"Scrap, used and secondhand goods",---,---,---,---,---,---,---,57,10,795,1209,173,---,---,772,63,---,---,4,0,---,384,61,---,---,69,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,847,---,---,---,---,---,---,---,---,224,---,---,---,---,4280,---,8949,25622,---,34571,164836,42776,207612,94,20392,---,20485,262669
72,Noncomparable imports and rest-of-the-world adjustment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4226,---,---,---,4226,217988,-54,222160,---,---,---,---,0,---,0,222160
73,Total industry supply,484432,58768,444610,106148,63623,612217,1961969,149899,146149,262381,393546,414469,401911,144326,732951,307867,79590,182657,1031404,52238,22529,191663,78671,607582,843380,246709,2139029,321939,269412,245017,1261629,171345,88657,44442,475440,68700,63106,344004,184849,496506,166947,892901,651911,1069890,786990,1370708,192459,2429886,1568978,384454,400774,546790,1873748,731261,1238822,125175,390500,1222830,1033961,260652,258870,186668,129234,235167,975743,739712,744145,572449,101439,2679952,416766,40575547,3070129,-29001,43616675,0,0,0,89101,843309,-103194,829217,44445892
